Well,Fluor,Target,Content,Sample,CFX,Opticon,CFXqpcR,OptiqpcR,,CFX/Opti Diff,Corr. Opti,,,,
C6,SBGnew,Sample,,1.7,29.58,,,HC4,29.26,29.26,0.01,,,,
C7,SBGnew,Sample,,N/A,N/A,,,NC4,27.52,28.13,-0.61,,,,
D1,SBGnew,Sample,,1.76,28.05,,,SC4,28.87,27.48,1.40,,,,
D2,SBGnew,Sample,,1.78,26.85,,,HT4,30.05,30.21,-0.15,,,,
D3,SBGnew,Sample,,1.95,25.36,,,NT4,30.78,30.36,0.43,,,,
D4,SBGnew,Sample,,1.56,29.9,,,ST4,31.81,28.74,3.08,,,,
D5,SBGnew,Sample,,1.59,29.85,,,HC5,28.07,27.93,0.15,,,,
D6,SBGnew,Sample,,1.62,28.74,,,NC5,27.81,28.46,-0.65,,,,
D7,SBGnew,Sample,,N/A,N/A,,,SC5,28.98,27.37,1.62,,,,
E1,SBGnew,Sample,,1.89,26.98,,,HT5,31.2,28.95,2.26,,,,
E2,SBGnew,Sample,,1.77,27.17,,,NT5,27.73,28.91,-1.18,,,,
E3,SBGnew,Sample,,1.9,25.55,,,ST5,32.79,29.00,3.80,,,,
E4,SBGnew,Sample,,1.55,28,,,HC6,32.57,31.54,1.04,,,,
E5,SBGnew,Sample,,1.59,28.42,,,NC6,28.46,28.74,-0.27,,,,
E6,SBGnew,Sample,,1.61,29,,,SC6,29.05,27.63,1.43,,,,
F1,SBGnew,Sample,,1.61,33.19,,,HT6,31.13,28.52,2.62,,,,
F2,SBGnew,Sample,,1.69,27.38,,,NT6,28.78,28.45,0.34,,,,
F3,SBGnew,Sample,,1.93,25.41,,,ST6,30.53,29.83,0.71,,,,
F4,SBGnew,Sample,,1.65,26.99,,,HC7,27.85,28.12,-0.26,,,,
F5,SBGnew,Sample,,1.67,28.59,,,NC7,27.07,27.56,-0.48,,,,
F6,SBGnew,Sample,,1.72,31.02,,,SC7,28.2,28.35,-0.15,,,,
G1,SBGnew,Sample,,1.79,27.51,,,HT7,30.9,28.48,2.43,,,,
G2,SBGnew,Sample,,1.91,26.88,,,NT7,29.73,30.33,-0.59,,,,
G3,SBGnew,Sample,,1.91,26.62,,,ST7,30.53,28.40,2.14,,,,
G4,SBGnew,Sample,,1.69,27.36,,,HC8,28.59,28.39,0.21,,,,
G5,SBGnew,Sample,,1.63,30.67,,,NC8,29.62,28.55,1.08,,,,
G6,SBGnew,Sample,,1.8,27.48,,,SC8,29.6,27.44,2.17,,,,
H1,SBGnew,Sample,,1.78,28.61,,,HT8,30.22,28.43,1.80,,,,
H2,SBGnew,Sample,,1.8,29.38,,,NT8,30.61,29.65,0.97,,,,
H3,SBGnew,Sample,,1.79,26.85,,,ST8,30.95,30.57,0.39,,,,
H4,SBGnew,Sample,,1.78,27.96,,,ST8,30.95,30.57,0.39,,,,
H5,SBGnew,Sample,,1.73,30.83,,,,,,,,,,
H6,SBGnew,Sample,,1.74,31.78,,,,,,0.93,,,,
