SampleNames:	HSP70c_NTC_01	HSP70c_NT1_01	HSP70c_HT1_01	HSP70c_ST1_01	HSP70c_NC1_01	HSP70c_HC1_01	HSP70c_SC1_01	HSP70c_NTC_01	p29ING4_NTC_01	p29ING4_NT1_01	p29ING4_HT1_01	p29ING4_ST1_01	p29ING4_NC1_01	p29ING4_HC1_01	p29ING4_SC1_01	p29ING4_NTC_01	CerS2_NTC_01	CerS2_NT1_01	CerS2_HT1_01	CerS2_ST1_01	CerS2_NC1_01	CerS2_HC1_01	CerS2_SC1_01	CerS2_NTC_01	GABABR_NTC_01	GABABR_NT1_01	GABABR_HT1_01	GABABR_ST1_01	GABABR_NC1_01	GABABR_HC1_01	GABABR_SC1_01	GABABR_NTC_01	HSP70d_NTC_01	HSP70d_NT1_01	HSP70d_HT1_01	HSP70d_ST1_01	HSP70d_NC1_01	HSP70d_HC1_01	HSP70d_SC1_01	HSP70d_NTC_01	THRa_NTC_01	THRa_NT1_01	THRa_HT1_01	THRa_ST1_01	THRa_NC1_01	THRa_HC1_01	THRa_SC1_01	THRa_NTC_01	Defensin_NTC_01	Defensin_NT1_01	Defensin_HT1_01	Defensin_ST1_01	Defensin_NC1_01	Defensin_HC1_01	Defensin_SC1_01	Defensin_NTC_01	GRB2_NTC_01	GRB2_NT1_01	GRB2_HT1_01	GRB2_ST1_01	GRB2_NC1_01	GRB2_HC1_01	GRB2_SC1_01	GRB2_NTC_01	H3.3_NTC_01	H3.3_NT1_01	H3.3_HT1_01	H3.3_ST1_01	H3.3_NC1_01	H3.3_HC1_01	H3.3_SC1_01	H3.3_NTC_01	H2A.V_NTC_01	H2A.V_NT1_01	H2A.V_HT1_01	H2A.V_ST1_01	H2A.V_NC1_01	H2A.V_HC1_01	H2A.V_SC1_01	H2A.V_NTC_01	H2A_NTC_01	H2A_NT1_01	H2A_HT1_01	H2A_ST1_01	H2A_NC1_01	H2A_HC1_01	H2A_SC1_01	H2A_NTC_01
LowerCycleNumber:	Error!	12	11	Error!	13	13	13	Error!	5	13	12	13	13	13	13	Error!	Error!	5	Error!	8	Error!	8	11	8	Error!	Error!	Error!	11	11	Error!	Error!	Error!	8	8	7	7	7	7	7	8	9	9	10	9	9	Error!	10	9	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	12	12	12	12	10	11	Error!	8	12	11	11	12	11	12	Error!	Error!	13	12	12	12	12	11	Error!	Error!	Error!	12	12	11	12	Error!	Error!
UpperCycleNumber:	Error!	19	18	Error!	20	20	20	Error!	12	20	19	20	20	20	20	Error!	Error!	12	Error!	15	Error!	15	18	14	Error!	Error!	Error!	18	18	Error!	Error!	Error!	15	15	14	14	13	13	13	14	16	16	17	16	16	Error!	17	16	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	19	19	19	19	17	18	Error!	15	19	18	18	19	18	19	Error!	Error!	20	19	19	19	19	18	Error!	Error!	Error!	19	19	18	19	Error!	Error!
PointsForRegression:	Error!	8	8	Error!	8	8	8	Error!	8	8	8	8	8	8	8	Error!	Error!	8	Error!	8	Error!	8	8	7	Error!	Error!	Error!	8	8	Error!	Error!	Error!	8	8	8	8	7	7	7	7	8	8	8	8	8	Error!	8	8	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	8	8	8	8	8	8	Error!	8	8	8	8	8	8	8	Error!	Error!	8	8	8	8	8	8	Error!	Error!	Error!	8	8	8	8	Error!	Error!
Number_OfRegressionWindows:	Error!	144	129	Error!	113	104	112	Error!	87	130	126	112	121	107	106	Error!	Error!	70	Error!	123	Error!	115	131	46	Error!	Error!	Error!	137	138	Error!	Error!	Error!	134	118	122	124	48	53	59	56	124	128	124	126	120	Error!	137	134	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	132	126	131	119	131	117	Error!	113	45	107	116	38	113	100	Error!	Error!	112	113	38	118	45	92	Error!	Error!	Error!	101	93	93	99	Error!	Error!
WeightedAverage_OfPvalue:	Error!	0.000475921	0.000642197	Error!	0.001013	0.00115636	0.00110514	Error!	0.00158976	0.000689454	0.000673854	0.000938707	0.000753054	0.00137122	0.00131392	Error!	Error!	0.00522529	Error!	0.000632735	Error!	0.000630195	0.000615061	0.00108422	Error!	Error!	Error!	0.000458755	0.000555254	Error!	Error!	Error!	0.000610144	0.000644713	0.00065198	0.000651494	0.000534213	0.000675774	0.000392301	0.000550772	0.000701666	0.000587568	0.000674571	0.000672855	0.000844873	Error!	0.00055433	0.000665112	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0.000687745	0.000688263	0.000697636	0.00126424	0.000645897	0.00226731	Error!	0.000678543	0.00250111	0.000599225	0.00126736	0.000941411	0.00103389	0.0020565	Error!	Error!	0.00286698	0.00207664	0.00229504	0.00223635	0.00178091	0.00206749	Error!	Error!	Error!	0.000722894	0.000795319	0.00120306	0.000857763	Error!	Error!
Stderr_OfWeightedPvalue:	Error!	0.00134906	0.00188935	Error!	0.00157876	0.00115938	0.0014545	Error!	0.00216459	0.00156043	0.00142115	0.00122424	0.00174508	0.00150811	0.00140168	Error!	Error!	0.00331833	Error!	0.00213145	Error!	0.00187183	0.00194626	0.00486455	Error!	Error!	Error!	0.00130977	0.00170276	Error!	Error!	Error!	0.00189855	0.00197956	0.0019975	0.002124	0.00245373	0.00260814	0.0020676	0.00273975	0.00220327	0.00186261	0.00218151	0.00212345	0.00171005	Error!	0.00166019	0.00215964	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0.00176908	0.0021184	0.00182271	0.00180447	0.00116592	0.00213408	Error!	0.00213757	0.00422746	0.00204695	0.00135037	0.00306466	0.00110599	0.00192948	Error!	Error!	0.0020124	0.00245785	0.00527519	0.00200468	0.00397818	0.00315152	Error!	Error!	Error!	0.00161198	0.000614975	0.000966962	0.00146562	Error!	Error!
WeightedAverage_OfEfficiency:	Error!	0.856299	0.841002	Error!	0.816143	0.80436	0.807852	Error!	0.819585	0.829705	0.830453	0.811556	0.823115	0.800594	0.802141	Error!	Error!	0.808235	Error!	0.849609	Error!	0.851265	0.84834	0.859534	Error!	Error!	Error!	0.876809	0.860238	Error!	Error!	Error!	0.861777	0.845952	0.854319	0.845852	0.906121	0.893126	0.910553	0.908811	0.832741	0.849676	0.836558	0.840128	0.835646	Error!	0.854472	0.840371	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0.828986	0.838051	0.83638	0.80796	0.844462	0.828634	Error!	0.847373	0.833448	0.809032	0.810435	0.778363	0.796283	0.806161	Error!	Error!	0.817947	0.834094	0.815855	0.828052	0.827775	0.838189	Error!	Error!	Error!	0.819162	0.814022	0.81726	0.819438	Error!	Error!
Stderr_OfWeightedEfficiency:	Error!	0.00346775	0.00317853	Error!	0.00501412	0.00498953	0.00531779	Error!	0.00137501	0.00503236	0.00560791	0.00628442	0.00434607	0.00496206	0.00416066	Error!	Error!	0.00182532	Error!	0.000956668	Error!	0.00142833	0.00277178	0.00352756	Error!	Error!	Error!	0.0040317	0.00492096	Error!	Error!	Error!	0.00232485	0.00219798	0.0014054	0.00178845	0.00808528	0.00456184	0.00345324	0.00624802	0.0023958	0.00508686	0.00221159	0.00221735	0.00488506	Error!	0.00519121	0.00271385	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0.00311222	0.00204002	0.00275265	0.00447372	0.00358215	0.00699849	Error!	0.001338	0.0154676	0.010108	0.00792513	0.0144547	0.00981692	0.00899885	Error!	Error!	0.0077358	0.00805457	0.0132127	0.00673993	0.01304	0.0107054	Error!	Error!	Error!	0.000556439	0.000516792	0.000458288	0.000816064	Error!	Error!
CT:	Error!	32.3774	33.1472	Error!	31.3679	30.2061	30.2654	Error!	35.7423	30.7295	31.7893	30.3343	31.6459	30.0938	30.0898	Error!	Error!	35.4054	Error!	35.4812	Error!	35.5006	33.7805	35.4041	Error!	Error!	Error!	33.4516	33.1407	Error!	Error!	Error!	34.8067	35.212	35.1656	34.8023	35.2267	35.1924	35.3348	35.3576	34.132	34.1185	34.2037	33.9218	34.4454	Error!	34.0097	34.0252	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	30.6324	32.0746	31.0877	29.2049	27.7076	27.4732	Error!	35.776	25.9739	25.8789	24.705	25.9855	24.5945	24.268	Error!	Error!	27.5352	27.0145	26.1681	27.8438	26.1884	26.6315	Error!	Error!	Error!	33.144	33.3572	34.5036	33.7305	Error!	Error!
TotalSampleNumber:	88																																																																																							
ReplicateSampleNames:	HSP70c_NTC	HSP70c_NT1	HSP70c_HT1	HSP70c_ST1	HSP70c_NC1	HSP70c_HC1	HSP70c_SC1	p29ING4_NTC	p29ING4_NT1	p29ING4_HT1	p29ING4_ST1	p29ING4_NC1	p29ING4_HC1	p29ING4_SC1	CerS2_NTC	CerS2_NT1	CerS2_HT1	CerS2_ST1	CerS2_NC1	CerS2_HC1	CerS2_SC1	GABABR_NTC	GABABR_NT1	GABABR_HT1	GABABR_ST1	GABABR_NC1	GABABR_HC1	GABABR_SC1	HSP70d_NTC	HSP70d_NT1	HSP70d_HT1	HSP70d_ST1	HSP70d_NC1	HSP70d_HC1	HSP70d_SC1	THRa_NTC	THRa_NT1	THRa_HT1	THRa_ST1	THRa_NC1	THRa_HC1	THRa_SC1	Defensin_NTC	Defensin_NT1	Defensin_HT1	Defensin_ST1	Defensin_NC1	Defensin_HC1	Defensin_SC1	GRB2_NTC	GRB2_NT1	GRB2_HT1	GRB2_ST1	GRB2_NC1	GRB2_HC1	GRB2_SC1	H3.3_NTC	H3.3_NT1	H3.3_HT1	H3.3_ST1	H3.3_NC1	H3.3_HC1	H3.3_SC1	H2A.V_NTC	H2A.V_NT1	H2A.V_HT1	H2A.V_ST1	H2A.V_NC1	H2A.V_HC1	H2A.V_SC1	H2A_NTC	H2A_NT1	H2A_HT1	H2A_ST1	H2A_NC1	H2A_HC1	H2A_SC1											
AverageEfficiency_OfReplicateSamples	Error!	0.856299	0.841002	Error!	0.816143	0.80436	0.807852	0.819585	0.829705	0.830453	0.811556	0.823115	0.800594	0.802141	0.859534	0.808235	Error!	0.849609	Error!	0.851265	0.84834	Error!	Error!	Error!	0.876809	0.860238	Error!	Error!	0.885294	0.845952	0.854319	0.845852	0.906121	0.893126	0.910553	0.836556	0.849676	0.836558	0.840128	0.835646	Error!	0.854472	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0.828986	0.838051	0.83638	0.80796	0.844462	0.828634	0.847373	0.833448	0.809032	0.810435	0.778363	0.796283	0.806161	Error!	0.817947	0.834094	0.815855	0.828052	0.827775	0.838189	Error!	Error!	0.819162	0.814022	0.81726	0.819438	Error!											
StdErr_OfReplicateSamplesEfficiency:	Error!	0	0	Error!	0	0	0	0	0	0	0	0	0	0	0	0	Error!	0	Error!	0	0	Error!	Error!	Error!	0	0	Error!	Error!	0.023517	0	0	0	0	0	0	0.00381496	0	0	0	0	Error!	0	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0	0	0	0	0	0	0	0	0	0	0	0	0	Error!	0	0	0	0	0	0	Error!	Error!	0	0	0	0	Error!											
CoefficientVariation(CV%)_OfReplicateSamplesEfficiencies:	Error!	0	0	Error!	0	0	0	0	0	0	0	0	0	0	0	0	Error!	0	Error!	0	0	Error!	Error!	Error!	0	0	Error!	Error!	3.75672	0	0	0	0	0	0	0.644926	0	0	0	0	Error!	0	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0	0	0	0	0	0	0	0	0	0	0	0	0	Error!	0	0	0	0	0	0	Error!	Error!	0	0	0	0	Error!											
AverageCT_OfReplicateSamples:	Error!	32.3774	33.1472	Error!	31.3679	30.2061	30.2654	35.7423	30.7295	31.7893	30.3343	31.6459	30.0938	30.0898	35.4041	35.4054	Error!	35.4812	Error!	35.5006	33.7805	Error!	Error!	Error!	33.4516	33.1407	Error!	Error!	35.0822	35.212	35.1656	34.8023	35.2267	35.1924	35.3348	34.0786	34.1185	34.2037	33.9218	34.4454	Error!	34.0097	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	30.6324	32.0746	31.0877	29.2049	27.7076	27.4732	35.776	25.9739	25.8789	24.705	25.9855	24.5945	24.268	Error!	27.5352	27.0145	26.1681	27.8438	26.1884	26.6315	Error!	Error!	33.144	33.3572	34.5036	33.7305	Error!											
StdErr_OfReplicateSamplesCT:	Error!	0	0	Error!	0	0	0	0	0	0	0	0	0	0	0	0	Error!	0	Error!	0	0	Error!	Error!	Error!	0	0	Error!	Error!	0.275485	0	0	0	0	0	0	0.0534469	0	0	0	0	Error!	0	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0	0	0	0	0	0	0	0	0	0	0	0	0	Error!	0	0	0	0	0	0	Error!	Error!	0	0	0	0	Error!											
CV%_OfReplicateSamplesCTs:	Error!	0	0	Error!	0	0	0	0	0	0	0	0	0	0	0	0	Error!	0	Error!	0	0	Error!	Error!	Error!	0	0	Error!	Error!	1.11052	0	0	0	0	0	0	0.221797	0	0	0	0	Error!	0	Error!	Error!	Error!	Error!	Error!	Error!	Error!	Error!	0	0	0	0	0	0	0	0	0	0	0	0	0	Error!	0	0	0	0	0	0	Error!	Error!	0	0	0	0	Error!											
GeneNames	HSP70c	p29ING4	CerS2	GABABR	HSP70d	THRa	Defensin	GRB2	H3.3	H2A.V	H2A																																																																													
AverageEfficiency_OfGenes:	0.825131	0.816735	0.843397	0.868523	0.877317	0.842172	Error!	0.830746	0.811585	0.826985	0.81747																																																																													
Stdev_OfGenesEfficiency:	0.010085	0.00464339	0.00900478	0.00828562	0.0106353	0.0032528	Error!	0.00516386	0.00863811	0.00357489	0.00124717																																																																													
MeanCV%_OfGenesEfficiencies	0	0	0	0	0.536674	0.107488	Error!	0	0	0	0																																																																													
MeanCV%_OfGenesCTs	0	0	0	0	0.158646	0.0369662	0	0	0	0	0																																																																													
																																																																																								
																																																																																								
ReplicateSampleNames:	HSP70c_NTC	HSP70c_NT1	HSP70c_HT1	HSP70c_ST1	HSP70c_NC1	HSP70c_HC1	HSP70c_SC1	p29ING4_NTC	p29ING4_NT1	p29ING4_HT1	p29ING4_ST1	p29ING4_NC1	p29ING4_HC1	p29ING4_SC1	CerS2_NTC	CerS2_NT1	CerS2_HT1	CerS2_ST1	CerS2_NC1	CerS2_HC1	CerS2_SC1	GABABR_NTC	GABABR_NT1	GABABR_HT1	GABABR_ST1	GABABR_NC1	GABABR_HC1	GABABR_SC1	HSP70d_NTC	HSP70d_NT1	HSP70d_HT1	HSP70d_ST1	HSP70d_NC1	HSP70d_HC1	HSP70d_SC1	THRa_NTC	THRa_NT1	THRa_HT1	THRa_ST1	THRa_NC1	THRa_HC1	THRa_SC1	Defensin_NTC	Defensin_NT1	Defensin_HT1	Defensin_ST1	Defensin_NC1	Defensin_HC1	Defensin_SC1	GRB2_NTC	GRB2_NT1	GRB2_HT1	GRB2_ST1	GRB2_NC1	GRB2_HC1	GRB2_SC1	H3.3_NTC	H3.3_NT1	H3.3_HT1	H3.3_ST1	H3.3_NC1	H3.3_HC1	H3.3_SC1	H2A.V_NTC	H2A.V_NT1	H2A.V_HT1	H2A.V_ST1	H2A.V_NC1	H2A.V_HC1	H2A.V_SC1	H2A_NTC	H2A_NT1	H2A_HT1	H2A_ST1	H2A_NC1	H2A_HC1	H2A_SC1											
