SampleNames:	Actin_HC_1	Actin_NC_1	Actin_SC_1	Actin_HT_1	Actin_NT_1	Actin_ST_1	Actin_NTC_1	Actin_HC_2	Actin_NC_2	Actin_SC_2	Actin_HT_2	Actin_NT_2	Actin_ST_2	Actin_NTC_2	Actin_HC_3	Actin_NC_3	Actin_SC_3	Actin_HT_3	Actin_NT_3	Actin_ST_3	Actin_NTC_3	Actin_HC_4	Actin_NC_4	Actin_SC_4	Actin_HT_4	Actin_NT_4	Actin_ST_4	Actin_NTC_4	Actin_HC_5	Actin_NC_5	Actin_SC_5	Actin_HT_5	Actin_NT_5	Actin_ST_5	Actin_HC_6	Actin_NC_6	Actin_SC_6	Actin_HT_6	Actin_NT_6	Actin_ST_6	Actin_HC_7	Actin_NC_7	Actin_SC_7	Actin_HT_7	Actin_NT_7	Actin_ST_7	Actin_HC_8	Actin_NC_8	Actin_SC_8	Actin_HT_8	Actin_NT_8
UpperCycleNumber:	15	15	15	16	16	16	Error!	14	15	15	15	16	15	15	15	15	15	15	16	18	15	15	15	15	16	15	Error!	14	15	15	16	16	17	18	15	15	16	16	15	14	16	14	15	15	16	15	14	15	16	16	15
PointsForRegression:	7	7	7	8	8	8	Error!	7	7	7	7	8	7	7	8	7	7	7	8	8	7	7	7	7	8	7	Error!	7	7	8	7	7	8	8	8	7	7	8	7	7	8	7	7	7	8	7	7	7	8	8	7
Number_OfRegressionWindows:	53	46	51	130	134	128	Error!	55	52	51	53	138	51	48	128	48	52	51	145	129	47	47	47	51	135	54	Error!	52	51	133	48	50	140	156	131	50	47	143	51	53	130	55	52	52	132	43	57	48	129	139	47
WeightedAverage_OfPvalue:	0.000840011	0.000894694	0.000932528	0.000636442	0.000604479	0.000721259	Error!	0.000556796	0.000756525	0.000868399	0.00074214	0.000559497	0.000880888	0.00104276	0.000974217	0.000944416	0.000748777	0.000844781	0.000480703	0.000576874	0.00135547	0.00126201	0.00101896	0.000827664	0.000557073	0.000668761	Error!	0.000844934	0.000836431	0.000811739	0.000954743	0.000905812	0.000593568	0.000431522	0.00111497	0.000892576	0.000918425	0.000532411	0.000934249	0.000758235	0.000732527	0.000406791	0.000773957	0.000849939	0.000612007	0.00139115	0.000414378	0.00122576	0.000693479	0.000545551	0.000957
Stderr_OfWeightedPvalue:	0.00272263	0.0019967	0.00267772	0.00147983	0.00134937	0.00131969	Error!	0.00191867	0.00260612	0.00245421	0.00230281	0.000987609	0.0025574	0.0017732	0.00138062	0.00154518	0.00328264	0.00253538	0.00131605	0.0013851	0.00219882	0.00192595	0.00169517	0.00258604	0.00149777	0.00222528	Error!	0.00292637	0.00252851	0.00130856	0.00267527	0.00276338	0.00172834	0.00149281	0.00167873	0.00256077	0.00145229	0.00136895	0.00258155	0.00256159	0.0014409	0.000760741	0.0025899	0.00276476	0.00146967	0.00282914	0.000827523	0.00192605	0.0010449	0.00127529	0.00210124
WeightedAverage_OfEfficiency:	0.847082	0.843058	0.842236	0.832703	0.837956	0.828727	Error!	0.844046	0.848662	0.848269	0.864366	0.839347	0.845985	0.833912	0.822211	0.83392	0.856494	0.846841	0.851649	0.901112	0.82599	0.833979	0.835462	0.852237	0.844914	0.865729	Error!	0.84603	0.84506	0.822504	0.837261	0.84415	0.839916	0.866104	0.821338	0.834505	0.841492	0.846015	0.841571	0.845994	0.826549	0.840489	0.849136	0.845011	0.835714	0.818976	0.841108	0.832757	0.828667	0.839593	0.834887
Stderr_OfWeightedEfficiency:	0.00679112	0.010806	0.0070208	0.00531653	0.00473116	0.00589694	Error!	0.00786975	0.00610472	0.00746635	0.00865968	0.00477772	0.0073073	0.00836437	0.00528447	0.00693017	0.00783298	0.00794497	0.00333344	0.00509385	0.00919456	0.0102627	0.00897027	0.00810055	0.00485354	0.00609083	Error!	0.00670909	0.00637581	0.00459651	0.00740641	0.00761253	0.0038678	0.00244051	0.00538868	0.00517222	0.0101347	0.00473605	0.00764893	0.00693139	0.005011	0.0097303	0.00646085	0.00599791	0.005205	0.011234	0.00977344	0.00892642	0.00540853	0.00417753	0.00895863
CT:	25.176	26.7666	25.0393	27.4828	26.7667	26.4851	Error!	24.3002	25.1057	25.9553	27.3008	25.8185	26.0387	25.811	25.3957	24.8995	27.2088	26.078	27.9994	37.2214	24.7277	24.8176	25.7866	26.0296	27.7809	27.2598	Error!	25.1715	25.0698	25.4974	26.7881	26.9191	28.5932	30.1616	24.3613	25.0028	26.7516	26.8784	25.0504	24.2642	26.5103	23.2551	25.3003	25.1354	26.6411	25.548	23.2041	23.8519	26.4264	26.7338	26.6736
TotalSampleNumber:	51																																																		
ReplicateSampleNames:	Actin_HC	Actin_NC	Actin_SC	Actin_HT	Actin_NT	Actin_ST	Actin_NTC																																												
AverageEfficiency_OfReplicateSamples	0.835172	0.83642	0.844474	0.845449	0.843346	0.85115	0.835311																																												
StdErr_OfReplicateSamplesEfficiency:	0.00375299	0.00276589	0.0031529	0.00315959	0.00368318	0.0119876	0.00582714																																												
CoefficientVariation(CV%)_OfReplicateSamplesEfficiencies:	1.271	0.93531	1.05601	1.05703	1.23527	3.44985	1.20828																																												
AverageCT_OfReplicateSamples:	24.8544	25.0207	26.1874	26.7887	26.8503	28.2865	25.2367																																												
StdErr_OfReplicateSamplesCT:	0.339641	0.386553	0.266037	0.298656	0.398929	1.96065	0.314406																																												
CV%_OfReplicateSamplesCTs:	3.86512	4.36973	2.87339	3.1533	4.20234	16.9784	2.15784																																												
GeneNames	Actin																																																		
AverageEfficiency_OfGenes:	0.841617																																																		
Stdev_OfGenesEfficiency:	0.00231469																																																		
MeanCV%_OfGenesEfficiencies	1.45897																																																		
MeanCV%_OfGenesCTs	5.37144																																																		
																																																			
																																																			
SampleNames:	Actin_HC_1	Actin_NC_1	Actin_SC_1	Actin_HT_1	Actin_NT_1	Actin_ST_1	Actin_NTC_1	Actin_HC_2	Actin_NC_2	Actin_SC_2	Actin_HT_2	Actin_NT_2	Actin_ST_2	Actin_NTC_2	Actin_HC_3	Actin_NC_3	Actin_SC_3	Actin_HT_3	Actin_NT_3	Actin_ST_3	Actin_NTC_3	Actin_HC_4	Actin_NC_4	Actin_SC_4	Actin_HT_4	Actin_NT_4	Actin_ST_4	Actin_NTC_4	Actin_HC_5	Actin_NC_5	Actin_SC_5	Actin_HT_5	Actin_NT_5	Actin_ST_5	Actin_HC_6	Actin_NC_6	Actin_SC_6	Actin_HT_6	Actin_NT_6	Actin_ST_6	Actin_HC_7	Actin_NC_7	Actin_SC_7	Actin_HT_7	Actin_NT_7	Actin_ST_7	Actin_HC_8	Actin_NC_8	Actin_SC_8	Actin_HT_8	Actin_NT_8
	2.10544E-07	7.97106E-08	2.28873E-07	5.14731E-08	7.97057E-08	9.46607E-08	#VALUE!	3.59421E-07	2.19779E-07	1.30819E-07	5.75237E-08	1.42217E-07	1.24324E-07	1.4287E-07	1.8411E-07	2.4927E-07	6.08478E-08	1.21376E-07	3.75473E-08	1.34558E-10	2.76841E-07	2.62053E-07	1.45014E-07	1.25017E-07	4.29066E-08	5.8982E-08	#VALUE!	2.11123E-07	2.2465E-07	1.73024E-07	7.86709E-08	7.26228E-08	2.61278E-08	1.00268E-08	3.46258E-07	2.34032E-07	8.04441E-08	7.44503E-08	2.27327E-07	3.6741E-07	9.32152E-08	6.80399E-07	1.95154E-07	2.15829E-07	8.60594E-08	1.6776E-07	7.01922E-07	4.72599E-07	9.81153E-08	8.13232E-08	8.43683E-08
