SampleNames:	HSPb11_NTC_01	HSPb11_NT1_01	HSPb11_HT1_01	HSPb11_ST1_01	HSPb11_NC1_01	HSPb11_HC1_01	HSPb11_SC1_01	HSPb11_NTC_01	GDF-8_NTC_01	GDF-8_NT1_01	GDF-8_HT1_01	GDF-8_ST1_01	GDF-8_NC1_01	GDF-8_HC1_01	GDF-8_SC1_01	GDF-8_NTC_01	HSP70b_NTC_01	HSP70b_NT1_01	HSP70b_HT1_01	HSP70b_ST1_01	HSP70b_NC1_01	HSP70b_HC1_01	HSP70b_SC1_01	HSP70b_NTC_01	GRF-78_NTC_01	GRF-78_NT1_01	GRF-78_HT1_01	GRF-78_ST1_01	GRF-78_NC1_01	GRF-78_HC1_01	GRF-78_SC1_01	GRF-78_NTC_01	CARM1_NTC_01	CARM1_NT1_01	CARM1_HT1_01	CARM1_ST1_01	CARM1_NC1_01	CARM1_HC1_01	CARM1_SC1_01	CARM1_NTC_01	BMP2_NTC_01	BMP2_NT1_01	BMP2_HT1_01	BMP2_ST1_01	BMP2_NC1_01	BMP2_HC1_01	BMP2_SC1_01	BMP2_NTC_01	PGE/EP4_NTC_01	PGE/EP4_NT1_01	PGE/EP4_HT1_01	PGE/EP4_ST1_01	PGE/EP4_NC1_01	PGE/EP4_HC1_01	PGE/EP4_SC1_01	PGE/EP4_NTC_01	CRAF1_NTC_01	CRAF1_NT1_01	CRAF1_HT1_01	CRAF1_ST1_01	CRAF1_NC1_01	CRAF1_HC1_01	CRAF1_SC1_01	CRAF1_NTC_01	NFKBina_NTC_01	NFKBina_NT1_01	NFKBina_HT1_01	NFKBina_ST1_01	NFKBina_NC1_01	NFKBina_HC1_01	NFKBina_SC1_01	NFKBina_NTC_01	PGRP-S_NTC_01	PGRP-S_NT1_01	PGRP-S_HT1_01	PGRP-S_ST1_01	PGRP-S_NC1_01	PGRP-S_HC1_01	PGRP-S_SC1_01	PGRP-S_NTC_01	TLR2.1_NTC_01	TLR2.1_NT1_01	TLR2.1_HT1_01	TLR2.1_ST1_01	TLR2.1_NC1_01	TLR2.1_HC1_01	TLR2.1_SC1_01	TLR2.1_NTC_01	GDF-8b_NTC_01	GDF-8b_NT1_01	GDF-8b_HT1_01	GDF-8b_ST1_01	GDF-8b_NC1_01	GDF-8b_HC1_01	GDF-8b_SC1_01	GDF-8b_NTC_01
LowerCycleNumber:	Error!	14	Error!	13	12	13	13	Error!	5	11	8	9	12	12	12	7	9	11	11	10	10	12	12	11	Error!	5	Error!	Error!	Error!	9	11	Error!	5	13	13	12	12	13	13	6	Error!	13	13	13	13	13	12	Error!	7	12	8	12	Error!	13	13	Error!	Error!	12	12	12	12	13	13	Error!	Error!	8	Error!	Error!	11	Error!	Error!	Error!	Error!	10	Error!	11	9	Error!	9	Error!	Error!	9	Error!	11	11	Error!	10	Error!	Error!	10	7	Error!	12	12	13	Error!
UpperCycleNumber:	Error!	21	Error!	20	19	20	20	Error!	12	18	15	16	19	19	19	14	16	18	18	17	17	19	19	18	Error!	12	Error!	Error!	Error!	16	18	Error!	12	20	20	19	19	20	20	13	Error!	20	20	20	20	20	19	Error!	14	19	15	19	Error!	20	20	Error!	Error!	19	19	19	19	20	20	Error!	Error!	15	Error!	Error!	18	Error!	Error!	Error!	Error!	17	Error!	18	16	Error!	16	Error!	Error!	16	Error!	18	18	Error!	17	Error!	Error!	17	14	Error!	19	19	20	Error!
PointsForRegression:	Error!	8	Error!	8	8	8	8	Error!	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	Error!	8	Error!	Error!	Error!	8	8	Error!	8	8	8	8	8	8	8	8	Error!	8	8	8	8	8	8	Error!	8	8	8	8	Error!	8	8	Error!	Error!	8	8	8	8	8	8	Error!	Error!	8	Error!	Error!	8	Error!	Error!	Error!	Error!	8	Error!	8	8	Error!	8	Error!	Error!	8	Error!	8	8	Error!	8	Error!	Error!	8	8	Error!	8	8	8	Error!
Number_OfRegressionWindows:	Error!	120	Error!	132	127	119	130	Error!	61	122	102	130	136	141	130	23	134	114	129	141	134	121	127	110	Error!	93	Error!	Error!	Error!	124	109	Error!	99	130	121	130	128	127	117	93	Error!	123	120	110	119	120	125	Error!	113	134	138	135	Error!	108	120	Error!	Error!	139	135	120	136	115	107	Error!	Error!	121	Error!	Error!	142	Error!	Error!	Error!	Error!	129	Error!	139	139	Error!	130	Error!	Error!	118	Error!	119	136	Error!	127	Error!	Error!	133	127	Error!	130	139	134	Error!
WeightedAverage_OfPvalue:	Error!	0.000913078	Error!	0.000643433	0.000705858	0.000957027	0.000723011	Error!	0.00512735	0.000672996	0.00065998	0.000613637	0.000563533	0.000532376	0.000609791	0.0241974	0.000578115	0.000564138	0.000664373	0.000460345	0.000628985	0.000890644	0.00071493	0.000832573	Error!	0.00268308	Error!	Error!	Error!	0.000692203	0.000691288	Error!	0.000973992	0.000642591	0.000813876	0.00057532	0.000795056	0.000884555	0.00121115	0.00261342	Error!	0.000769752	0.000730156	0.000969975	0.000821402	0.000901313	0.0011443	Error!	0.000656803	0.000528805	0.000579053	0.000563181	Error!	0.00096278	0.000798269	Error!	Error!	0.000481229	0.000530165	0.00074802	0.000619298	0.000972646	0.000974464	Error!	Error!	0.000660656	Error!	Error!	0.000474395	Error!	Error!	Error!	Error!	0.000550225	Error!	0.000573045	0.000485791	Error!	0.000485102	Error!	Error!	0.000618665	Error!	0.000689996	0.00056852	Error!	0.00051682	Error!	Error!	0.000609462	0.000629069	Error!	0.000533251	0.000516659	0.000612465	Error!
Stderr_OfWeightedPvalue:	Error!	0.00180012	Error!	0.00154008	0.00146702	0.0017104	0.0015373	Error!	0.00299268	0.0018067	0.00183713	0.00179869	0.00172753	0.00166505	0.00180883	0.0029166	0.00165604	0.00162697	0.00163803	0.00120761	0.00163764	0.00138454	0.00140524	0.00203292	Error!	0.0023871	Error!	Error!	Error!	0.00229004	0.00177962	Error!	0.00164723	0.00147337	0.0019918	0.0016043	0.00124315	0.0013926	0.00171721	0.002419	Error!	0.0019125	0.001917	0.00151454	0.00157236	0.00134369	0.00150818	Error!	0.00211947	0.00166026	0.0018944	0.00170746	Error!	0.00170956	0.0015125	Error!	Error!	0.0014918	0.00168445	0.00181218	0.00184622	0.00160838	0.00148049	Error!	Error!	0.00198385	Error!	Error!	0.00126383	Error!	Error!	Error!	Error!	0.00159525	Error!	0.00168608	0.00152559	Error!	0.00156967	Error!	Error!	0.00200251	Error!	0.00193823	0.00169112	Error!	0.00154487	Error!	Error!	0.00200327	0.00212064	Error!	0.00154353	0.0015678	0.00170786	Error!
WeightedAverage_OfEfficiency:	Error!	0.819312	Error!	0.834438	0.835913	0.807331	0.82336	Error!	0.820488	0.837482	0.83273	0.8534	0.859602	0.856673	0.851321	0.800069	0.863485	0.843067	0.830375	0.878332	0.83802	0.822398	0.827373	0.815882	Error!	0.817425	Error!	Error!	Error!	0.836763	0.83121	Error!	0.822693	0.835044	0.825001	0.848811	0.834092	0.82546	0.804569	0.819572	Error!	0.822617	0.827712	0.815008	0.817233	0.821851	0.820625	Error!	0.837129	0.860045	0.860764	0.853162	Error!	0.812408	0.817931	Error!	Error!	0.867839	0.857099	0.826923	0.84027	0.812245	0.805416	Error!	Error!	0.857292	Error!	Error!	0.868234	Error!	Error!	Error!	Error!	0.864394	Error!	0.85189	0.873519	Error!	0.873271	Error!	Error!	0.85298	Error!	0.835199	0.852481	Error!	0.86289	Error!	Error!	0.850748	0.856539	Error!	0.858652	0.86118	0.841996	Error!
Stderr_OfWeightedEfficiency:	Error!	0.00536739	Error!	0.00514623	0.0054242	0.00504121	0.00412574	Error!	0.010528	0.00312956	0.000370831	0.00285975	0.00373274	0.0039911	0.00242058	0.000969535	0.00387633	0.00545352	0.00449952	0.00538294	0.00319757	0.00465726	0.00591302	0.00252365	Error!	0.00507895	Error!	Error!	Error!	0.0013423	0.00196585	Error!	0.00191955	0.00552309	0.004031	0.00410984	0.00526217	0.0044838	0.00521504	0.00128529	Error!	0.00397053	0.00351688	0.00464422	0.00464929	0.00614285	0.0047556	Error!	0.00173657	0.00402422	0.00276691	0.00358537	Error!	0.0035616	0.00585833	Error!	Error!	0.00560653	0.00495258	0.00328678	0.00345302	0.00579059	0.00349325	Error!	Error!	0.00184109	Error!	Error!	0.00400552	Error!	Error!	Error!	Error!	0.00323808	Error!	0.00417555	0.00314818	Error!	0.00348038	Error!	Error!	0.000718016	Error!	0.00254142	0.0045545	Error!	0.00528454	Error!	Error!	0.0030721	0.00144868	Error!	0.00532616	0.0040619	0.00526778	Error!
CT:	Error!	31.4322	Error!	31.0127	30.0395	29.392	29.7669	Error!	34.7048	34.5542	35.404	35.104	33.3821	33.286	34.1879	36.1707	32.0404	31.6165	31.3506	31.1675	30.6429	29.5987	30.3479	31.5634	Error!	35.2443	Error!	Error!	Error!	34.9798	34.5268	Error!	35.1677	31.6788	32.4865	33.0271	29.8201	29.7852	29.3101	36.1359	Error!	31.3947	32.5892	31.1843	30.4792	29.601	28.6806	Error!	35.5816	33.3025	35.4253	34.072	Error!	31.4131	30.5405	Error!	Error!	33.2757	33.2516	32.7894	33.2058	30.3707	30.4676	Error!	Error!	35.0099	Error!	Error!	33.5661	Error!	Error!	Error!	Error!	35.0472	Error!	34.5597	35.0523	Error!	34.9892	Error!	Error!	35.4313	Error!	34.5015	34.5636	Error!	34.1104	Error!	Error!	34.8293	35.4593	Error!	33.6104	33.4411	32.7376	Error!
TotalSampleNumber:	96																																																																																															
ReplicateSampleNames:	HSPb11_NTC	HSPb11_NT1	HSPb11_HT1	HSPb11_ST1	HSPb11_NC1	HSPb11_HC1	HSPb11_SC1	GDF-8_NTC	GDF-8_NT1	GDF-8_HT1	GDF-8_ST1	GDF-8_NC1	GDF-8_HC1	GDF-8_SC1	HSP70b_NTC	HSP70b_NT1	HSP70b_HT1	HSP70b_ST1	HSP70b_NC1	HSP70b_HC1	HSP70b_SC1	GRF-78_NTC	GRF-78_NT1	GRF-78_HT1	GRF-78_ST1	GRF-78_NC1	GRF-78_HC1	GRF-78_SC1	CARM1_NTC	CARM1_NT1	CARM1_HT1	CARM1_ST1	CARM1_NC1	CARM1_HC1	CARM1_SC1	BMP2_NTC	BMP2_NT1	BMP2_HT1	BMP2_ST1	BMP2_NC1	BMP2_HC1	BMP2_SC1	PGE/EP4_NTC	PGE/EP4_NT1	PGE/EP4_HT1	PGE/EP4_ST1	PGE/EP4_NC1	PGE/EP4_HC1	PGE/EP4_SC1	CRAF1_NTC	CRAF1_NT1	CRAF1_HT1	CRAF1_ST1	CRAF1_NC1	CRAF1_HC1	CRAF1_SC1	NFKBina_NTC	NFKBina_NT1	NFKBina_HT1	NFKBina_ST1	NFKBina_NC1	NFKBina_HC1	NFKBina_SC1	PGRP-S_NTC	PGRP-S_NT1	PGRP-S_HT1	PGRP-S_ST1	PGRP-S_NC1	PGRP-S_HC1	PGRP-S_SC1	TLR2.1_NTC	TLR2.1_NT1	TLR2.1_HT1	TLR2.1_ST1	TLR2.1_NC1	TLR2.1_HC1	TLR2.1_SC1	GDF-8b_NTC	GDF-8b_NT1	GDF-8b_HT1	GDF-8b_ST1	GDF-8b_NC1	GDF-8b_HC1	GDF-8b_SC1												
AverageEfficiency_OfReplicateSamples	Error!	0.819312	Error!	0.834438	0.835913	0.807331	0.82336	0.810279	0.837482	0.83273	0.8534	0.859602	0.856673	0.851321	0.839684	0.843067	0.830375	0.878332	0.83802	0.822398	0.827373	Error!	0.817425	Error!	Error!	Error!	0.836763	0.83121	0.821133	0.835044	0.825001	0.848811	0.834092	0.82546	0.804569	Error!	0.822617	0.827712	0.815008	0.817233	0.821851	0.820625	0.837129	0.860045	0.860764	0.853162	Error!	0.812408	0.817931	Error!	0.867839	0.857099	0.826923	0.84027	0.812245	0.805416	Error!	0.857292	Error!	Error!	0.868234	Error!	Error!	Error!	0.864394	Error!	0.85189	0.873519	Error!	0.873271	Error!	0.85298	Error!	0.835199	0.852481	Error!	0.86289	Error!	0.850748	0.856539	Error!	0.858652	0.86118	0.841996												
StdErr_OfReplicateSamplesEfficiency:	Error!	0	Error!	0	0	0	0	0.0102091	0	0	0	0	0	0	0.0238017	0	0	0	0	0	0	Error!	0	Error!	Error!	Error!	0	0	0.00156059	0	0	0	0	0	0	Error!	0	0	0	0	0	0	0	0	0	0	Error!	0	0	Error!	0	0	0	0	0	0	Error!	0	Error!	Error!	0	Error!	Error!	Error!	0	Error!	0	0	Error!	0	Error!	0	Error!	0	0	Error!	0	Error!	0	0	Error!	0	0	0												
CoefficientVariation(CV%)_OfReplicateSamplesEfficiencies:	Error!	0	Error!	0	0	0	0	1.78184	0	0	0	0	0	0	4.00873	0	0	0	0	0	0	Error!	0	Error!	Error!	Error!	0	0	0.268776	0	0	0	0	0	0	Error!	0	0	0	0	0	0	0	0	0	0	Error!	0	0	Error!	0	0	0	0	0	0	Error!	0	Error!	Error!	0	Error!	Error!	Error!	0	Error!	0	0	Error!	0	Error!	0	Error!	0	0	Error!	0	Error!	0	0	Error!	0	0	0												
AverageCT_OfReplicateSamples:	Error!	31.4322	Error!	31.0127	30.0395	29.392	29.7669	35.4377	34.5542	35.404	35.104	33.3821	33.286	34.1879	31.8019	31.6165	31.3506	31.1675	30.6429	29.5987	30.3479	Error!	35.2443	Error!	Error!	Error!	34.9798	34.5268	35.6518	31.6788	32.4865	33.0271	29.8201	29.7852	29.3101	Error!	31.3947	32.5892	31.1843	30.4792	29.601	28.6806	35.5816	33.3025	35.4253	34.072	Error!	31.4131	30.5405	Error!	33.2757	33.2516	32.7894	33.2058	30.3707	30.4676	Error!	35.0099	Error!	Error!	33.5661	Error!	Error!	Error!	35.0472	Error!	34.5597	35.0523	Error!	34.9892	Error!	35.4313	Error!	34.5015	34.5636	Error!	34.1104	Error!	34.8293	35.4593	Error!	33.6104	33.4411	32.7376												
StdErr_OfReplicateSamplesCT:	Error!	0	Error!	0	0	0	0	0.732933	0	0	0	0	0	0	0.238489	0	0	0	0	0	0	Error!	0	Error!	Error!	Error!	0	0	0.484097	0	0	0	0	0	0	Error!	0	0	0	0	0	0	0	0	0	0	Error!	0	0	Error!	0	0	0	0	0	0	Error!	0	Error!	Error!	0	Error!	Error!	Error!	0	Error!	0	0	Error!	0	Error!	0	Error!	0	0	Error!	0	Error!	0	0	Error!	0	0	0												
CV%_OfReplicateSamplesCTs:	Error!	0	Error!	0	0	0	0	2.92491	0	0	0	0	0	0	1.06055	0	0	0	0	0	0	Error!	0	Error!	Error!	Error!	0	0	1.92029	0	0	0	0	0	0	Error!	0	0	0	0	0	0	0	0	0	0	Error!	0	0	Error!	0	0	0	0	0	0	Error!	0	Error!	Error!	0	Error!	Error!	Error!	0	Error!	0	0	Error!	0	Error!	0	Error!	0	0	Error!	0	Error!	0	0	Error!	0	0	0												
GeneNames	HSPb11	GDF-8	HSP70b	GRF-78	CARM1	BMP2	PGE/EP4	CRAF1	NFKBina	PGRP-S	TLR2.1	GDF-8b																																																																																				
AverageEfficiency_OfGenes:	0.824071	0.84307	0.839893	0.828466	0.82773	0.820841	0.84024	0.834965	0.862763	0.865769	0.850888	0.853823																																																																																				
