SampleNames:	Actin_NTC_01	Actin_NT1_01	Actin_HT1_01	Actin_ST1_01	Actin_NC1_01	Actin_HC1_01	Actin_SC1_01	Actin_NTC_02	Actin_NTC_03	Actin_NT1_02	Actin_HT1_02	Actin_ST1_02	Actin_NC1_02	Actin_HC1_02	Actin_SC1_02	Actin_NTC_04	HSP70_NTC_01	HSP70_NT1_01	HSP70_HT1_01	HSP70_ST1_01	HSP70_NC1_01	HSP70_HC1_01	HSP70_SC1_01	HSP70_NTC_02	HSP70_NTC_03	HSP70_NT1_02	HSP70_HT1_02	HSP70_ST1_02	HSP70_NC1_02	HSP70_HC1_02	HSP70_SC1_02	HSP70_NTC_04
WeightedAverage_OfPvalue:	Error!	0.00307568	0.0014299	0.000751089	0.00169653	0.00173154	0.00186901	Error!	Error!	0.00153959	0.000966646	0.00113982	0.0024497	0.00314907	0.0005914	Error!	Error!	0.000677396	0.000722542	0.00107473	0.000703242	0.000987511	0.000997045	0.000701249	Error!	0.000609277	0.000702001	0.000561702	Error!	0.00104503	0.000777487	0.00112884
Stderr_OfWeightedPvalue:	Error!	0.00229415	0.00137676	0.00172323	0.00185095	0.00319552	0.0039836	Error!	Error!	0.00178538	0.00135144	0.00130694	0.00307085	0.00388775	0.00170122	Error!	Error!	0.00211352	0.00189951	0.00122365	0.00218912	0.00128083	0.00119561	0.00202755	Error!	0.001627	0.0016273	0.000846362	Error!	0.00130911	0.00123046	0.00216308
WeightedAverage_OfEfficiency:	Error!	0.79324	0.790748	0.819674	0.83025	0.840052	0.809143	Error!	Error!	0.843538	0.823689	0.795949	0.840995	0.840714	0.772005	Error!	Error!	0.83634	0.822844	0.801658	0.840922	0.807843	0.854711	0.838998	Error!	0.84236	0.82814	0.838669	Error!	0.821912	0.842275	0.82393
Stderr_OfWeightedEfficiency:	Error!	0.00698735	0.004319	0.00420009	0.00879054	0.0119393	0.00903819	Error!	Error!	0.0085687	0.00616616	0.00422607	0.0117599	0.0139381	0.0096707	Error!	Error!	0.00235268	0.00170509	0.00969995	0.00148123	0.00474884	0.00697153	0.00134368	Error!	0.00411163	0.00377573	0.00597276	Error!	0.00611826	0.00565148	0.00150284
CT:	Error!	27.2028	29.1279	30.0016	27.7369	25.7462	25.1731	Error!	Error!	27.0525	28.9943	29.459	26.5598	26.378	24.8355	Error!	Error!	31.9658	31.7404	24.5388	32.5905	30.2134	27.9155	36.2372	Error!	31.9919	30.8059	24.0489	Error!	29.4331	28.9905	35.6501
TotalSampleNumber:	32																															
ReplicateSampleNames:	Actin_NTC	Actin_NT1	Actin_HT1	Actin_ST1	Actin_NC1	Actin_HC1	Actin_SC1	HSP70_NTC	HSP70_NT1	HSP70_HT1	HSP70_ST1	HSP70_NC1	HSP70_HC1	HSP70_SC1																		
AverageEfficiency_OfReplicateSamples	Error!	0.818389	0.807219	0.807811	0.835623	0.840383	0.790574	0.831464	0.83935	0.825492	0.820163	0.840922	0.814878	0.848493																		
StdErr_OfReplicateSamplesEfficiency:	Error!	0.0251488	0.0164701	0.0118625	0.00537207	0.000330968	0.0185691	0.00753408	0.00301027	0.00264792	0.0185055	0	0.00703445	0.00621791																		
CoefficientVariation(CV%)_OfReplicateSamplesEfficiencies:	Error!	4.34583	2.88549	2.07674	0.909174	0.0556959	3.32172	1.28145	0.507199	0.453636	3.19091	0	1.22082	1.03636																		
AverageCT_OfReplicateSamples:	Error!	27.1277	29.0611	29.7303	27.1483	26.0621	25.0043	35.9436	31.9788	31.2731	24.2939	32.5905	29.8233	28.453																		
StdErr_OfReplicateSamplesCT:	Error!	0.0751469	0.0668058	0.27134	0.588529	0.315907	0.168797	0.29358	0.013052	0.467274	0.244955	0	0.390127	0.537499																		
CV%_OfReplicateSamplesCTs:	Error!	0.391754	0.3251	1.29071	3.06577	1.71421	0.954696	1.1551	0.0577205	2.11308	1.42595	0	1.84998	2.67156																		
GeneNames	Actin	HSP70																														
AverageEfficiency_OfGenes:	0.816666	0.831537																														
Stdev_OfGenesEfficiency:	0.00768831	0.00457755																														
MeanCV%_OfGenesEfficiencies	2.26578	1.09863																														
MeanCV%_OfGenesCTs	1.29037	1.32477																														
																																
ReplicateSampleNames:	Actin_NTC	Actin_NT1	Actin_HT1	Actin_ST1	Actin_NC1	Actin_HC1	Actin_SC1	HSP70_NTC	HSP70_NT1	HSP70_HT1	HSP70_ST1	HSP70_NC1	HSP70_HC1	HSP70_SC1																		
	#VALUE!	9.25685E-08	2.91864E-08	1.95737E-08	9.1437E-08	1.74883E-07	3.28858E-07	3.5765E-10	3.93976E-09	6.03863E-09	4.1227E-07	2.72085E-09	1.45201E-08	3.3274E-08																		
																																
																																
Normalized HSP70	HSP70_NTC	HSP70_NT1	HSP70_HT1	HSP70_ST1	HSP70_NC1	HSP70_HC1	HSP70_SC1																									
	#VALUE!	0.04256045	0.206898673	21.06240232	0.029756573	0.083027491	0.101180559																									
